player,n_events,sg_total,sg_ott,sg_app,sg_arg,sg_putt,made_cut_rate,wins,top10s
Jon Rahm,92,1.594,0.838,0.37,0.137,0.249,0.902,5,46
Rory McIlroy,82,1.482,0.898,0.432,0.196,-0.043,0.89,7,38
Patrick Cantlay,84,1.374,0.519,0.471,0.217,0.13,0.905,6,31
Dustin Johnson,108,1.36,0.731,0.42,0.053,0.164,0.861,12,51
Justin Thomas,129,1.173,0.287,0.647,0.258,-0.029,0.814,9,53
Collin Morikawa,57,0.967,0.391,0.834,-0.029,-0.226,0.86,3,20
Webb Simpson,121,0.949,0.045,0.499,0.337,0.077,0.843,3,35
Xander Schauffele,96,0.941,0.39,0.29,0.026,0.236,0.792,2,24
Hideki Matsuyama,126,0.939,0.321,0.681,0.194,-0.259,0.833,4,32
Paul Casey,100,0.924,0.376,0.66,-0.02,-0.092,0.84,2,33
Viktor Hovland,54,0.911,0.595,0.649,-0.391,0.058,0.889,0,11
Jordan Spieth,126,0.911,0.061,0.309,0.297,0.242,0.81,7,38
Jason Day,106,0.906,0.289,-0.026,0.304,0.314,0.755,7,31
Scottie Scheffler,64,0.879,0.432,0.278,0.21,-0.021,0.781,3,17
Sungjae Im,99,0.874,0.481,0.099,0.111,0.211,0.818,2,22
Adam Scott,91,0.84,0.232,0.555,0.016,0.034,0.835,2,23
Bryson DeChambeau,104,0.814,0.627,0.152,-0.014,0.048,0.74,8,33
Tyrrell Hatton,66,0.808,0.201,0.299,0.128,0.18,0.788,1,16
Brooks Koepka,111,0.797,0.495,0.136,0.028,0.138,0.775,5,32
Justin Rose,90,0.765,0.244,0.24,0.115,0.12,0.756,1,29
